review_id,review_datePublished,review_jobTitle,review_worksFor,review_workLocation,review_ratingValue,rating_promotions,rating_skilldev,rating_culture,rating_worksatis,rating_salarybenifits,rating_jobsecurity,rating_worklifebal,likes,dislikes
review-56325582,2024-03-26,Internal Communications Manager,Jio,Navi Mumbai,5,3.0,5.0,5.0,5.0,4.0,5.0,5.0,This organization truly treats its employees as family and you can always depend on the team to be there for you in your hour of need! ,Career progression is not at the expected pace.
review-56253578,2024-03-21,Devops Engineer,Jio,Mumbai,2,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Office campus is good with infrastructure for physical activities as well ,"Work culture very unhealthy, unfair treatment/benefits for people at same level and within team.
Management just doesn't listen or support.
Expect to work over time around 4-5 hrs from residence and late night activities/meeting and then to show up to office the next day.
Exhaust people mentally."
review-56218722,2024-03-19,Technical Support Engineer,Jio,Mumbai,2,1.0,1.0,1.0,1.0,1.0,4.0,3.0,If you don't have any other option or if u required wfh then only work here ,Process not defined also people here are less educated poor ability in team management partiality
review-56120454,2024-03-19,Assistant Manager,Jio,Guwahati,2,1.0,3.0,1.0,1.0,2.0,1.0,1.0,"Third class corporate culture , no co-ordination among employees manager. Too much pressure of sales with unimaginary numbers target. Better look for other opportunities. ","Work environment is very bad.they only believes in sales and not service. Working here will ruin your image infront of your known client because they doesn't care about service. Faced many challenges after moving from Airtel to Jio , the managers are not good.every morning they start with scolding. Job was very unsecured had to quit because of the mental torture."
review-56216072,2024-03-19,Assistant Manager,Jio,Kolkata,1,1.0,3.0,2.0,1.0,5.0,1.0,1.0,"Salary on time, Benefits are too good for your family and you too, every colleagues are good even management team too as everyone is here just for salary and family.every month a surprise project which can develop your skills. ","Forgot what you are and why you are.. just do everything ordered by state head and NHQ with multitasking.
If your department is mobility forget about that you need to do all together sale jio Fiber, sale Corporate sim, stand at Smart point, sale door to door, do sale with umbrella activity.
Forgot career growth.
Forgot work life bala"
review-56209576,2024-03-18,Senior Technical Program Manager,Jio,Hyderabad / Secunderabad,5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,"Medical and health policies 
Hybrid work policy 
New technology and tech stack
Nice work life balance ","Bureaucracy very prevalent 
Work to get done very slow
Career growth depends on manager"
review-56127958,2024-03-14,Deputy Manager,Jio,Prayagraj / Allahabad,3,1.0,4.0,4.0,3.0,1.0,4.0,3.0,New project coming every month I like this Project for increasing skill and experience. ,In terms of growth there is no carrier growth here and no visibility of claim settlement.
review-56072094,2024-03-11,Manager SCM,Jio,Varanasi,5,4.0,5.0,5.0,4.0,3.0,5.0,5.0,"How can we say that in this company the employee are taken care of tha all time or there is very little to work and worry about , overall this company is very good. ",Only for career growth
review-56025762,2024-03-08,Deputy Manager,Jio,Chennai,3,3.0,3.0,1.0,4.0,3.0,4.0,3.0,Like the Work and facility is awesome. ,"Reporting to non professtion leaders[L1]. 
Weekly 1day works to be done for others [S&D)KPI. 
Breaking all professional ethics.
There is no self respect.
Providing salary and getting debited by selling jio product to their own Employee 1st.
You can always listion ""Support Support"" from cross functional team. S&D don't have efficiency"
review-56022710,2024-03-08,Civil Mast Engineer,Jio,Chandigarh,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing ,"Each and every thing worst company ever I have seen in my life it give only 1 days prior information to leave the company for the contractual employees
6 percentage increment after 3 year of job I would suggest not to join these companies. just sucking the blood of employees and pays nothing instead of increasing salary they will cut your salary in name insurance and all very wors company"
review-55887092,2024-03-01,Assistant Manager,Jio,Kolkata,3,3.0,3.0,1.0,1.0,3.0,4.0,2.0,Very much systematic in terms of Data support. All automation.. sufficient manpower support. ,Culture is very poor. No one to listen the problem. Only deliver.
review-55885068,2024-03-01,Manager Enterprise Sales,Jio,Lucknow,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing likeable ,"Politics is too much in reliance jio.
They never hesitate to spoil employee careers even employees life too.. 
 
Rajnesh tripathi is an uneducated HR who is on reference base working over their."
review-55043500,2024-02-27,Manager,Jio,Mumbai,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,There is no commitment on salary increment and the hike even doesn’t matched the inflation rate. Timing for bonus's es and increment is terrible ,People should always check for the team that they are going to join and consult with previously worked people before joining
review-55770848,2024-02-24,Jio Point Manager,Jio,Durgapur,2,3.0,3.0,1.0,2.0,2.0,4.0,1.0,Timely salary ,"No work life balance
Senior management take unnecessary decision and lower staff suffer
Gives too much pressure to sell flop products(own+others)
Concall started from 7:30am and last call was 10-11pm
HR's are only puppets
Yu are working for last 2 years and you found the new joinee with less experience have more salary then you.
If y"
review-55693872,2024-02-20,Sales Executive,Jio,Bangalore / Bengaluru,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,"Team is very helpful and supportive.
Even the seniors and management also stands with you and for you in any hard situation.
Team as well as individual also got appreciated ",Nothing
review-53655408,2024-02-19,Seles Executive,Jio,Hyderabad / Secunderabad,3,4.0,5.0,5.0,4.0,4.0,4.0,5.0,Hi I'm working loss provincial association reliance company this my role LPA ,Yes I'm interested in working I'm I am click learning Frist growth and development my team members
review-55556816,2024-02-13,Social Media Executive,Jio,Navi Mumbai,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Ending my last working day with JIO. it was really a wonderful ride. days went lik secs. Thanks to the whole team. ,Each moments was best for me.
review-55556784,2024-02-13,Sales Executive,Jio,Bangalore / Bengaluru,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Jio Has the best work culture . they provide various benefits to the employee. a good place to work. ,nothing i have to say here
review-55469624,2024-02-09,Software Engineer,Jio,Navi Mumbai,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Not at all. Worst place to work. ,I worked in SCM plateform team. Worst place i have ever worked in. All Managers and MD is terrible person. There is no personal life. They always pressurized and push to worked after work hours and on weekends also. If you raised voice against them they will remove you by doing politics. We login at 10am and leave office by 9pm. Even
review-55258222,2024-02-09,Non Voice Customer Service Executive,Jio,Yavatmal,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Great company more special work our self great opportunity for work my experience was so good ,Not more salary and boss shouting and unnecessary pressure from boss
review-55360878,2024-02-06,Assistant Manager,Jio,Navi Mumbai,1,2.0,2.0,2.0,2.0,4.0,2.0,1.0,Salary and benefits which was good . ,"Work culture, kicking out in probationary period ,still achieving target and didn't consider it .the company is good but the managers is not."
review-55252116,2024-02-03,Project Manager,Jio,Hyderabad / Secunderabad,1,3.0,2.0,2.0,3.0,2.0,1.0,2.0,Ok but not Upto the mark for Employees. ,No transparancy...So Much Documentation...People are Bribe oriented. There mind and Sole for work never match. They say something and do something..They so power of company brand not to the feelings of Parter or employee.
review-55213486,2024-02-02,Assistant Manager,Jio,Hyderabad / Secunderabad,5,3.0,4.0,5.0,4.0,5.0,5.0,3.0,Good company there is no problems but work pressure work life balance is some little bit difficult but the growth as well as marketing skills will be developed very well ,There is no weekoffs and festivals that's it 365 degree work
review-55166620,2024-02-02,Training Manager,Jio,Bhubaneswar,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"1 - Salary gets credited on time
2 - In the dynamic culture of organisation learnings will be high 
3 - Good for a short team experience or only if someone is jobless ","1- PLI amount not paid timely and if someone joins or resigns in between financial year will lose PLI completely which is 12% of his salary.
2- DA is Rs 75/- per day, which is lowest in the industry.
3 - Appraisal is done timely but no certainty of increment, it might happen might not might be flat 3% for everyone despite good or bad"
review-55125224,2024-02-01,Deputy Manager,Jio,Greater Noida,5,3.0,5.0,4.0,5.0,4.0,5.0,4.0,Reliance jio is best company for job security and new technology learning based. More courses available in all platforms for employees. ,Promotion and salary criteria is not good comparison to work based experience. I have 8 years completed in reliance family but till now not promoted.
review-55121882,2024-02-01,Assistant Manager,Jio,Kolkata,1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Nothing to like here ,"All..
There is no proper plan to execute.
No body has the guts to give honest opinion.
No job security.
No fixed work timing,if you are in jio you should able to work for 15-20hrs.
In one sentence nothing can be worst than that."
review-48451124,2024-01-31,Jio Point Manager,Jio,Bhagalpur,4,3.0,5.0,1.0,1.0,3.0,4.0,4.0,Salary on time only ,"Many kpis of Target every month new project launch but not any incentive for employees 
Different types of works"
review-54773250,2024-01-31,Home Connect Master Supervisor,Jio,Guwahati,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"Jio is a company with zero employee centric policy.
You have to li*k your boss feet to get yearly appraisal.otherwise you got B rating.
There is no weekoff for HCMS.you have to work 365 days ,n zero quality maintenance in every department.only sales matters nothing else. ","1)Zero salary benifit
2)In every department sales oriented 
3)zero quality of work
4)zero appraisal,
5)No job security at all in any position from top to bottom
6) working hr is like 15 hrs
Worst company that I had ever worked with"
review-54868086,2024-01-26,Customer Service Professional,Jio,Vijayapura,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Yes 
it is a leading company in India's telecommunications industry. I would like to work in an environment that is constantly innovating and expanding its services. ",I am Interested in Jio.co because it is a leading company in India's telecommunications industry. I would like to work in an environment that is constantly innovating and expanding its services. Jio.co provides an excellent opportunity to learn and grow within the telecom sector.
review-54850210,2024-01-25,Deputy General Manager,Jio,Mumbai,3,2.0,3.0,2.0,3.0,4.0,4.0,2.0,"Some perks are good, self learning opportunities in abundance as it takes ages to find someone to learn from ","Extremely poor work life balance, prone to office politics, poor appraisals, no credit for work"
review-54786754,2024-01-23,Advisor,Jio,Thane,5,3.0,4.0,3.0,5.0,5.0,4.0,4.0,Team lead was good ,Not giving promotion and appraisal
review-54754452,2024-01-22,Executive,Jio,Navi Mumbai,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Not like anything ,"Company mangement
Hr behaviour they are not helping emp they behave like they are owner of this company backed team also not working properly"
review-54725216,2024-01-21,Deputy General Manager,Jio,Mumbai,3,3.0,2.0,2.0,3.0,3.0,4.0,2.0,Nothing to like as such ,"Poor Policies, No HR, No proper increment, No timing for getting variable pay and increment as well."
review-54663950,2024-01-19,Assistant Manager,Jio,Amravati,3,3.0,4.0,3.0,3.0,3.0,3.0,1.0,Jio gives a reall time updates of telecommunication of the daily world and has a wide range of field to work in. ,"There is work life balance in the industry, you would be working on a dozen KPIs in a single day and won't know where to put you concentration on which pki first. There is daily an ongoing drive going on for various kpis. The work pressure is tremendous."
review-49753610,2024-01-18,Assistant Manager,Jio,Jamnagar,3,1.0,3.0,1.0,1.0,2.0,1.0,1.0,Training and business skill ,"Culture, appreciation, hike or increment,
Promotion, late night pressure, no week off"
review-45469370,2024-01-18,Software Developer,Jio,Bangalore / Bengaluru,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,You can enhance your knowledge with the new technology ,"No Job security
Hostile environment
Bad work culture
Manager is order as dictator"
review-54646148,2024-01-18,Assistant Manager,Jio,Mumbai,1,2.0,2.0,1.0,1.0,5.0,1.0,1.0,The only thing I like is the brand name which is been created under the Managing director and facilitiy. ,Worst management Senior management do not follow the hierarchy the manager seats in the office and enjoy their phone and social media only person who is in trouble is the frontier
review-54588002,2024-01-16,Deputy Manager HR,Jio,Mumbai,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,You'll get your Salary on time. Just this is a thing. ,"Worst company to work with.
Rubbish work culture. Please don't join by just by looking at Brand name(you'll regret) . Keep your doors open of your previous company.(you'll feel soon after joining) 
This company will not treat you like a employee. They are inhuman. No job security here in any department. Not even in HR. 
Hire/fire & P"
review-54535070,2024-01-13,Assistant Manager,Jio,Lucknow,1,1.0,4.0,3.0,2.0,1.0,3.0,2.0,High level profile employee are wehwer is very good and supporting but JC level employee was not good ,After 6 year no promotion no ancrement
review-54528622,2024-01-12,Fiber Engineer,Jio,Chennai,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I'm working in jio fiber engineer in vadapalani (jc14) but I thought now why I join in this company such a worst office is this plz don't join this company it's my suggestion.... ,Everything I dislike in this company... JC14 vadapalani branch MS palraj he is unfit for that role I don't know who hired him for this job... Sach a worst person..🤞
review-54333376,2024-01-11,Manager,Jio,Chennai,4,3.0,5.0,5.0,4.0,3.0,4.0,4.0,"- Admired & Excited at Reliance as a leading Multinational Brand.
- Leadership inspiration.
- Opportunitys.
- Multitasking roles.
- Learning & Skill Development.
- Internal Culture. ",- Assessment Pattern.
review-54325394,2024-01-05,Customer Care Executive,Jio,Navi Mumbai,1,1.0,1.0,1.0,1.0,3.0,1.0,2.0,I did not like working in this company....everything is not for employees but only for senior employees ,Worst Experience Ever.....I had a very bad experience working in this company.
review-54304214,2024-01-04,Assistant Manager,Jio,Bardhaman,1,2.0,1.0,1.0,1.0,4.0,1.0,1.0,"Nothing except time to time salary My higher authority boss was terrible due to our boss behavior all the managers and sales team left the company .
No job security ",Everything
review-54019506,2024-01-04,General Manager,Jio,Navi Mumbai,5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,"Freedom to try and fail, build small business ideas into big products. Diversification of offerings across digital landscape ",Large conglomerate complexity
review-59126960,2024-07-27,Center Manager,Jio,Patna,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Best Place to work ,Nothing as such
review-59117002,2024-07-27,Fiber Engineer,Jio,Guwahati,5,3.0,2.0,3.0,3.0,4.0,3.0,4.0,Good company can join easy ,Nothing is good here
review-59116416,2024-07-27,Senior Enterprise Sales Manager,Jio,Guwahati,5,3.0,3.0,4.0,4.0,4.0,4.0,3.0,"Product, Innovation, pricing and people matrix ",6 day working culture
review-59099418,2024-07-26,Sales Executive,Jio,Hyderabad / Secunderabad,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,It's giving opportunity those people who aren't able to walkout. ,Pressure  of work day by day
review-59099298,2024-07-26,Assistant Area Manager,Jio,Chennai,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Company Culture ,Nothing as of now
review-59089592,2024-07-26,Customer Service Executive,Jio,Nipani,4,4.0,5.0,5.0,4.0,3.0,5.0,4.0,Yes but another department . ,Salary increment  issue work pressure
review-59085824,2024-07-26,Network Planning Engineer,Jio,Hyderabad / Secunderabad,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Hppy ,"Waste
Rt
Tuu
Yjh
Jj"
review-59070948,2024-07-25,Senior Operations Engineer,Jio,Navi Mumbai,4,4.0,4.0,3.0,4.0,4.0,4.0,4.0,More opportunities to work on multiple projects. ,No night shift allowance and Pick-up and drop.
review-59069412,2024-07-25,Assistant Manager,Jio,Hyderabad / Secunderabad,3,2.0,4.0,3.0,3.0,2.0,4.0,2.0,Good learning and if you are working hard then they may give you good positions ,No good hikes
review-59069888,2024-07-25,Manager,Jio,Bangalore / Bengaluru,3,1.0,2.0,2.0,2.0,2.0,3.0,3.0,"Less meetings ,one gets time to learn and upskill ","Less compensation than market standard, growth is limited"
review-59064494,2024-07-25,Assistant Manager,Jio,New Delhi,5,5.0,5.0,5.0,4.0,5.0,5.0,3.0,"Job security 100%, salary on time or before time ",Working hours issue  personal life hell
review-59064370,2024-07-25,Customer Care Executive,Jio,Mumbai,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,Work culture and supportive staff ,There is no dislike about anything
review-59062538,2024-07-25,Field Engineer,Jio,Junagadh,5,3.0,5.0,5.0,3.0,5.0,5.0,3.0,Overall good experience ,There is no dislike
review-59060894,2024-07-25,Fiber Engineer,Jio,Lucknow,5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,More time learning and next level promotion ,Jio Fiber Engineer Salary not increase any year
review-59043876,2024-07-24,Site Engineer,Jio,Hosur,3,3.0,4.0,3.0,4.0,3.0,2.0,2.0,I'm worked as a site engineer that was a filed work ,No no no
review-59043788,2024-07-24,Network Engineer,Jio,Bhubaneswar,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good culture maintaining here ,Not any dislike is there
review-59042592,2024-07-24,Senior Sales Officer,Jio,Ludhiana,3,2.0,2.0,1.0,1.0,3.0,2.0,1.0,Salary on time ,Bad behaviors by team mentors and seniors
review-59041676,2024-07-24,Assistant Manager Supply Chain,Jio,Damoh,3,3.0,4.0,5.0,5.0,2.0,5.0,5.0,"I like very much here 
Work Life balance ",Salary is too much Low according to the designation
review-59038586,2024-07-24,Manager,Jio,Mumbai,3,2.0,4.0,2.0,4.0,2.0,4.0,4.0,Work life balance ,Increments and appraisals
review-59035020,2024-07-24,Application Support Engineer,Jio,Bangalore / Bengaluru,3,2.0,2.0,3.0,2.0,2.0,5.0,2.0,Job security ,Work culture is not good
review-59024740,2024-07-24,Senior Sdet Engineer,Jio,Navi Mumbai,4,4.0,4.0,3.0,4.0,3.0,3.0,3.0,working ,working hfdh fdsjfhjd dsmfnd dffn
review-59024130,2024-07-24,Home Sales Officer,Jio,Akola,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Ok done ,No I don't
review-59022600,2024-07-24,Point of Sales Manager,Jio,Rudrapur,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work from the ,no problem this
review-59021724,2024-07-24,Executive,Jio,Navi Mumbai,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,OK ,GOOD JOB NICE PLACE TO WORK
review-59019202,2024-07-24,Lead Talent Acquisition,Jio,Mumbai,5,4.0,3.0,4.0,4.0,5.0,5.0,5.0,Job security ,Learning opportunities are less
review-50425002,2024-07-24,Fiber Engineer,Jio,Hyderabad / Secunderabad,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All are good ,No dislikes
review-59015562,2024-07-23,Senior Software Engineer,Jio,Mumbai,4,2.0,3.0,3.0,3.0,3.0,5.0,3.0,Environment and job security ,"salary and benefits, work life balance"
review-59015492,2024-07-23,General Manager,Jio,Navi Mumbai,1,1.0,1.0,1.0,1.0,2.0,4.0,1.0,Job stability ,Management is bureaucratic and do not care about employees.
review-59013092,2024-07-23,Manager,Jio,Mumbai,4,4.0,4.0,4.0,4.0,4.0,5.0,4.0,Company policies for employees are excellent with a lot of good benefits. ,Appraisal cycle is extremely delayed even till November
review-59009962,2024-07-23,Manager Enterprise Sales,Jio,Guwahati,4,4.0,5.0,5.0,5.0,5.0,4.0,5.0,Work environment is excellent ,Overall things are good
review-47733798,2024-07-22,Training Head,Jio,Patna,5,3.0,4.0,4.0,4.0,4.0,5.0,5.0,Process orientation ,Top to bottom approach
review-58989646,2024-07-22,Enterprise Sales Officer,Jio,Indore,3,2.0,2.0,1.0,1.0,2.0,1.0,1.0,Good Company for pressure ,Very Work Pressure
review-58969104,2024-07-22,Senior Product Manager,Jio,Bangalore / Bengaluru,2,1.0,1.0,1.0,1.0,5.0,2.0,1.0,Na ,"Ambiguous, fast paced, no employee wellness"
review-58968958,2024-07-22,Deputy Manager,Jio,Chennai,4,5.0,5.0,4.0,4.0,5.0,3.0,4.0,Promotion and increment will sure if you are met your KPI ,Unwanted pressure for Sales peoples
review-58968944,2024-07-22,Finance Executive,Jio,Bhubaneswar,5,3.0,5.0,3.0,5.0,2.0,2.0,5.0,Office culture & celebration ,Salary increment  but otherwise all good
review-58963906,2024-07-21,Finance Executive,Jio,Hyderabad / Secunderabad,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,They will terminate all employees once project completed or any Fraud activities happen ,Job termination immediately by one month timeline
review-58960974,2024-07-21,Deputy Manager Operations,Jio,Navi Mumbai,2,1.0,3.0,1.0,1.0,2.0,4.0,1.0,Learning and medical policy. ,"Bad work culture , no work life balance"
review-46839336,2024-07-21,National Sales Manager,Jio,Bangalore / Bengaluru,3,1.0,4.0,1.0,1.0,4.0,4.0,1.0,New tech to learn ,Work culture needs improvement
review-58935302,2024-07-20,Manager,Jio,Bhubaneswar,4,1.0,5.0,1.0,4.0,1.0,3.0,3.0,"Opportunity for learning.
Scope is there for learning. ","No ethics of company.
No culture related to increment and promotion
No fixed timeline of PLI and increment.
There is no HR policy and no HR power."
review-58929438,2024-07-20,Deputy Manager,Jio,Surat,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All Good and excellent policies for employee. ,Need to reduse the VC culture.
review-50133630,2024-07-20,Mobility Sales Lead,Jio,Panchkula,1,1.0,1.0,1.0,1.0,2.0,3.0,1.0,Reliance jio provide job security for some extend ,Undue pressure. Unorganised way to rush things. Unnecessary vertical for reporting
review-58841238,2024-07-20,Fiber Engineer,Jio,Hyderabad / Secunderabad,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Overall ,It's a good experience ",Government holidays should be included
review-58918188,2024-07-20,Executive,Jio,Ankleshwar,5,4.0,3.0,4.0,4.0,3.0,5.0,5.0,Work life balance is good ,Increment and other facilities are not good
review-58917966,2024-07-20,Senior Executive,Jio,Aligarh,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing Good ,Very Bad Experience
review-58917350,2024-07-20,Assistant Manager,Jio,Thiruvananthapuram,3,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Salary on time ,"Appraisal will come only on September,"
review-58913228,2024-07-20,Deputy Manager,Jio,Ludhiana,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,Nothing ,All employees overburden. Stress  stress stress stress stress stress stress stress
review-58911058,2024-07-19,Assistant Territory Sales Manager,Jio,Navi Mumbai,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good culture ,Nothing about jio
review-58908278,2024-07-19,Electrical Maintenance Supervisor,Jio,Pune,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All type Electrical work like ,No any Work
review-58904878,2024-07-19,Manager Talent Acquisition,Jio,Mumbai,3,1.0,4.0,3.0,3.0,2.0,4.0,3.0,Job Security ,Promotions & increment never on time
