,review_id,review_datePublished,review_author,review_jobTitle,review_worksFor,review_workLocation,review_ratingValue,review_bestRating,review_worstRating,rating_overall,rating_promotions,rating_skilldev,rating_culture,rating_worksatis,rating_salarybenifits,rating_jobsecurity,rating_worklifebal,likes,dislikes,work_details
10,review-56777198,2024-04-19,Anonymous,Deputy Manager,Jio,Navi Mumbai,4,,,4,2.0,3.0,3.0,3.0,2.0,4.0,4.0,Overall it is a good company but salary hikes should be improved it is very less compared to industry standards ,Mandatory 9 hrs completion of work . Salary hike is very less.,"['Work related travel:', '\xa0', 'This is a desk job.']"
11,review-56729330,2024-04-16,Anonymous,Senior Program Manager,Jio,Hyderabad / Secunderabad,4,,,4,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Good overall company culture work wise mostly Indian project ,Growth is big issue no onshore opportunities not yearly appraisal is good,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
12,review-56654734,2024-04-12,Anonymous,Software Developer,Jio,Bangalore / Bengaluru,4,,,4,3.0,4.0,4.0,4.0,3.0,4.0,4.0,"Good mentors, peers, and work culture! ","Yearly Hikes must be good, as it's like 7% which is less than the Annual inflation rate in our country.","['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
13,review-56641276,2024-04-11,Anonymous,Jio - Centre Manager,Jio,Kolkata,1,,,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Colleagues ,"Terrible management
No work life balance....late night calls
At times forcefully work on holidays
Good leaders get easily sidelined
No reward & recognition culture
Promotions are rarest or rare
Illogical target setting resulting in unnecessary stress & duress","['Work related travel:', '\xa0', 'This is a desk job.']"
14,review-56629556,2024-04-11,Anonymous,Customer Service Executive,Jio,Indore,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This is a very good company and full support our employees. Thank you 😍 ,Nothing,"['Work related travel:', '\xa0', 'This is a desk job.']"
15,review-56597292,2024-04-09,Anonymous,Chat and Email Support Executive,Jio,Thane,1,,,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,Remote ,"Everything culture, politics and partiality plus no hike.","['Work related travel:', '\xa0', 'This is a desk job.']"
16,review-56573278,2024-04-08,Anonymous,Sales Manager,Jio,Kolkata,1,,,1,1.0,2.0,1.0,1.0,3.0,1.0,1.0,Nothing as such ,"Full of politics and partialism.
No respect to employees.
Seniors are poor quality
Uses slangs to executives and managers.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
17,review-56487206,2024-04-04,Anonymous,Digital Repair Specialist,Jio,Hindupur,1,,,1,1.0,3.0,1.0,2.0,1.0,1.0,1.0,"Skills development
All facilities available,pantry , rest rooms ,drs separate work station with AC 
Medical ESI hospitality
Newly joined people salaries is higher
Sim card with free recharge unlimited free ","From joining time only for taking mobile service like products service and swap basis only sap crm work but after few years later assign to another works ,Calling,Jio Associate, Jiopoint Issues travel (Cc camera ,wifi,all SLP products),ONT,FIBER,jp team handling, present now AirFibre , Salary was I'm old 2016_13500 still I'm getting","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
18,review-56467442,2024-04-03,Anonymous,Manager Materials,Jio,Vijayawada,4,,,4,3.0,3.0,3.0,3.0,3.0,4.0,4.0,"Good infrastructure and facilities. Employee engagement activity is good, as long as integrity is maintained, you will be safe. Flexible time.. ",Appraisals are late and don't expect much... Growth is limited unless one opts to shift to Mumbai.,"['Work related travel:', '\xa0', 'This is a desk job.']"
19,review-56414480,2024-03-31,Anonymous,Senior Executive Engineer,Jio,Kolkata,3,,,3,2.0,3.0,2.0,4.0,4.0,1.0,4.0,Job satisfaction and company benefit ,"My contract will expire on 31st March. And the confirmation mail about the contract end, I received on 21st March. Only 10 days before of my contract ending date. What about the company's ethics? It's a very crucial time, March as the financial year ends and an election is coming so it's very difficult to find a job within this short","['Work days:', '\xa0Monday to Saturday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
20,review-56400218,2024-03-30,Anonymous,Customer Service Associate,Jio,Mumbai,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Amazon working faster than and customers satisfication ,No dislike,"['Work related travel:', '\xa0', 'This is a desk job.']"
21,review-52047868,2024-03-30,Anonymous,Software Developer,Jio,Navi Mumbai,4,,,4,2.0,4.0,4.0,5.0,3.0,5.0,5.0,"The company's work environment and culture can be conducive to creativity and collaboration, fostering a rewarding experience for software developers ",As such there is nothing to dislike.,"['Work related travel:', '\xa0', 'This is a desk job.']"
22,review-56387568,2024-03-29,Anonymous,Fttx Manager,Jio,Bokaro,3,,,3,1.0,4.0,1.0,2.0,1.0,4.0,4.0,Job security ,"cost cutting day by day each field,
food allowance
fuel rate is increasing but Rs/km  decreasing in company fuel allowance","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
23,review-56325582,2024-03-26,Anonymous,Internal Communications Manager,Jio,Navi Mumbai,5,,,5,3.0,5.0,5.0,5.0,4.0,5.0,5.0,This organization truly treats its employees as family and you can always depend on the team to be there for you in your hour of need! ,Career progression is not at the expected pace.,"['Work related travel:', '\xa0', 'This is a desk job.']"
24,review-56253578,2024-03-21,Anonymous,Devops Engineer,Jio,Mumbai,2,,,2,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Office campus is good with infrastructure for physical activities as well ,"Work culture very unhealthy, unfair treatment/benefits for people at same level and within team.
Management just doesn't listen or support.
Expect to work over time around 4-5 hrs from residence and late night activities/meeting and then to show up to office the next day.
Exhaust people mentally.",[]
25,review-56218722,2024-03-19,Anonymous,Technical Support Engineer,Jio,Mumbai,2,,,2,1.0,1.0,1.0,1.0,1.0,4.0,3.0,If you don't have any other option or if u required wfh then only work here ,Process not defined also people here are less educated poor ability in team management partiality,"['Work related travel:', '\xa0', 'This is a desk job.']"
26,review-56120454,2024-03-19,Anonymous,Assistant Manager,Jio,Guwahati,2,,,2,1.0,3.0,1.0,1.0,2.0,1.0,1.0,"Third class corporate culture , no co-ordination among employees manager. Too much pressure of sales with unimaginary numbers target. Better look for other opportunities. ","Work environment is very bad.they only believes in sales and not service. Working here will ruin your image infront of your known client because they doesn't care about service. Faced many challenges after moving from Airtel to Jio , the managers are not good.every morning they start with scolding. Job was very unsecured had to quit because of the mental torture.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
27,review-56216072,2024-03-19,Anonymous,Assistant Manager,Jio,Kolkata,1,,,1,1.0,3.0,2.0,1.0,5.0,1.0,1.0,"Salary on time, Benefits are too good for your family and you too, every colleagues are good even management team too as everyone is here just for salary and family.every month a surprise project which can develop your skills. ","Forgot what you are and why you are.. just do everything ordered by state head and NHQ with multitasking.
If your department is mobility forget about that you need to do all together sale jio Fiber, sale Corporate sim, stand at Smart point, sale door to door, do sale with umbrella activity.
Forgot career growth.
Forgot work life bala","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
28,review-56209576,2024-03-18,Anonymous,Senior Technical Program Manager,Jio,Hyderabad / Secunderabad,5,,,5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,"Medical and health policies 
Hybrid work policy 
New technology and tech stack
Nice work life balance ","Bureaucracy very prevalent 
Work to get done very slow
Career growth depends on manager","['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
29,review-56127958,2024-03-14,Anonymous,Deputy Manager,Jio,Prayagraj / Allahabad,3,,,3,1.0,4.0,4.0,3.0,1.0,4.0,3.0,New project coming every month I like this Project for increasing skill and experience. ,In terms of growth there is no carrier growth here and no visibility of claim settlement.,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
30,review-56072094,2024-03-11,Anonymous,Manager SCM,Jio,Varanasi,5,,,5,4.0,5.0,5.0,4.0,3.0,5.0,5.0,"How can we say that in this company the employee are taken care of tha all time or there is very little to work and worry about , overall this company is very good. ",Only for career growth,"['Work related travel:', '\xa0', 'This is a desk job.']"
31,review-56025762,2024-03-08,Anonymous,Deputy Manager,Jio,Chennai,3,,,3,3.0,3.0,1.0,4.0,3.0,4.0,3.0,Like the Work and facility is awesome. ,"Reporting to non professtion leaders[L1]. 
Weekly 1day works to be done for others [S&D)KPI. 
Breaking all professional ethics.
There is no self respect.
Providing salary and getting debited by selling jio product to their own Employee 1st.
You can always listion ""Support Support"" from cross functional team. S&D don't have efficiency",[]
32,review-56022710,2024-03-08,Anonymous,Civil Mast Engineer,Jio,Chandigarh,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing ,"Each and every thing worst company ever I have seen in my life it give only 1 days prior information to leave the company for the contractual employees
6 percentage increment after 3 year of job I would suggest not to join these companies. just sucking the blood of employees and pays nothing instead of increasing salary they will cut your salary in name insurance and all very wors company",[]
33,review-55887092,2024-03-01,Anonymous,Assistant Manager,Jio,Kolkata,3,,,3,3.0,3.0,1.0,1.0,3.0,4.0,2.0,Very much systematic in terms of Data support. All automation.. sufficient manpower support. ,Culture is very poor. No one to listen the problem. Only deliver.,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
34,review-55885068,2024-03-01,Anonymous,Manager Enterprise Sales,Jio,Lucknow,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing likeable ,"Politics is too much in reliance jio.
They never hesitate to spoil employee careers even employees life too.. 
 
Rajnesh tripathi is an uneducated HR who is on reference base working over their.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
35,review-55043500,2024-02-27,Anonymous,Manager,Jio,Mumbai,1,,,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,There is no commitment on salary increment and the hike even doesn’t matched the inflation rate. Timing for bonus's es and increment is terrible ,People should always check for the team that they are going to join and consult with previously worked people before joining,[]
36,review-55770848,2024-02-24,Anonymous,Jio Point Manager,Jio,Durgapur,2,,,2,3.0,3.0,1.0,2.0,2.0,4.0,1.0,Timely salary ,"No work life balance
Senior management take unnecessary decision and lower staff suffer
Gives too much pressure to sell flop products(own+others)
Concall started from 7:30am and last call was 10-11pm
HR's are only puppets
Yu are working for last 2 years and you found the new joinee with less experience have more salary then you.
If y","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
37,review-55693872,2024-02-20,Anonymous,Sales Executive,Jio,Bangalore / Bengaluru,5,,,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,"Team is very helpful and supportive.
Even the seniors and management also stands with you and for you in any hard situation.
Team as well as individual also got appreciated ",Nothing,"['Work related travel:', '\xa0', 'This is a desk job.']"
38,review-53655408,2024-02-19,Anonymous,Seles Executive,Jio,Hyderabad / Secunderabad,3,,,3,4.0,5.0,5.0,4.0,4.0,4.0,5.0,Hi I'm working loss provincial association reliance company this my role LPA ,Yes I'm interested in working I'm I am click learning Frist growth and development my team members,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'International Travel.']"
39,review-55556816,2024-02-13,Anonymous,Social Media Executive,Jio,Navi Mumbai,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Ending my last working day with JIO. it was really a wonderful ride. days went lik secs. Thanks to the whole team. ,Each moments was best for me.,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
40,review-55556784,2024-02-13,Anonymous,Sales Executive,Jio,Bangalore / Bengaluru,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Jio Has the best work culture . they provide various benefits to the employee. a good place to work. ,nothing i have to say here,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
41,review-55469624,2024-02-09,Anonymous,Software Engineer,Jio,Navi Mumbai,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Not at all. Worst place to work. ,I worked in SCM plateform team. Worst place i have ever worked in. All Managers and MD is terrible person. There is no personal life. They always pressurized and push to worked after work hours and on weekends also. If you raised voice against them they will remove you by doing politics. We login at 10am and leave office by 9pm. Even,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
42,review-55258222,2024-02-09,Anonymous,Non Voice Customer Service Executive,Jio,Yavatmal,4,,,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Great company more special work our self great opportunity for work my experience was so good ,Not more salary and boss shouting and unnecessary pressure from boss,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City,\xa0', 'International Travel.']"
43,review-55360878,2024-02-06,Anonymous,Assistant Manager,Jio,Navi Mumbai,1,,,1,2.0,2.0,2.0,2.0,4.0,2.0,1.0,Salary and benefits which was good . ,"Work culture, kicking out in probationary period ,still achieving target and didn't consider it .the company is good but the managers is not.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
44,review-55252116,2024-02-03,Anonymous,Project Manager,Jio,Hyderabad / Secunderabad,1,,,1,3.0,2.0,2.0,3.0,2.0,1.0,2.0,Ok but not Upto the mark for Employees. ,No transparancy...So Much Documentation...People are Bribe oriented. There mind and Sole for work never match. They say something and do something..They so power of company brand not to the feelings of Parter or employee.,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
45,review-55213486,2024-02-02,Anonymous,Assistant Manager,Jio,Hyderabad / Secunderabad,5,,,5,3.0,4.0,5.0,4.0,5.0,5.0,3.0,Good company there is no problems but work pressure work life balance is some little bit difficult but the growth as well as marketing skills will be developed very well ,There is no weekoffs and festivals that's it 365 degree work,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
46,review-55166620,2024-02-02,Anonymous,Training Manager,Jio,Bhubaneswar,1,,,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"1 - Salary gets credited on time
2 - In the dynamic culture of organisation learnings will be high 
3 - Good for a short team experience or only if someone is jobless ","1- PLI amount not paid timely and if someone joins or resigns in between financial year will lose PLI completely which is 12% of his salary.
2- DA is Rs 75/- per day, which is lowest in the industry.
3 - Appraisal is done timely but no certainty of increment, it might happen might not might be flat 3% for everyone despite good or bad","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
47,review-55125224,2024-02-01,Anonymous,Deputy Manager,Jio,Greater Noida,5,,,5,3.0,5.0,4.0,5.0,4.0,5.0,4.0,Reliance jio is best company for job security and new technology learning based. More courses available in all platforms for employees. ,Promotion and salary criteria is not good comparison to work based experience. I have 8 years completed in reliance family but till now not promoted.,[]
48,review-55121882,2024-02-01,Anonymous,Assistant Manager,Jio,Kolkata,1,,,1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Nothing to like here ,"All..
There is no proper plan to execute.
No body has the guts to give honest opinion.
No job security.
No fixed work timing,if you are in jio you should able to work for 15-20hrs.
In one sentence nothing can be worst than that.","['Work related travel:', '\xa0', 'This is a desk job.']"
49,review-48451124,2024-01-31,Anonymous,Jio Point Manager,Jio,Bhagalpur,4,,,4,3.0,5.0,1.0,1.0,3.0,4.0,4.0,Salary on time only ,"Many kpis of Target every month new project launch but not any incentive for employees 
Different types of works","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
50,review-54773250,2024-01-31,Anonymous,Home Connect Master Supervisor,Jio,Guwahati,1,,,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"Jio is a company with zero employee centric policy.
You have to li*k your boss feet to get yearly appraisal.otherwise you got B rating.
There is no weekoff for HCMS.you have to work 365 days ,n zero quality maintenance in every department.only sales matters nothing else. ","1)Zero salary benifit
2)In every department sales oriented 
3)zero quality of work
4)zero appraisal,
5)No job security at all in any position from top to bottom
6) working hr is like 15 hrs
Worst company that I had ever worked with","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
51,review-54868086,2024-01-26,Anonymous,Customer Service Professional,Jio,Vijayapura,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Yes 
it is a leading company in India's telecommunications industry. I would like to work in an environment that is constantly innovating and expanding its services. ",I am Interested in Jio.co because it is a leading company in India's telecommunications industry. I would like to work in an environment that is constantly innovating and expanding its services. Jio.co provides an excellent opportunity to learn and grow within the telecom sector.,[]
52,review-54850210,2024-01-25,Anonymous,Deputy General Manager,Jio,Mumbai,3,,,3,2.0,3.0,2.0,3.0,4.0,4.0,2.0,"Some perks are good, self learning opportunities in abundance as it takes ages to find someone to learn from ","Extremely poor work life balance, prone to office politics, poor appraisals, no credit for work","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City,\xa0', 'Travel Within Country.']"
53,review-54786754,2024-01-23,Anonymous,Advisor,Jio,Thane,5,,,5,3.0,4.0,3.0,5.0,5.0,4.0,4.0,Team lead was good ,Not giving promotion and appraisal,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
54,review-54754452,2024-01-22,Anonymous,Executive,Jio,Navi Mumbai,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Not like anything ,"Company mangement
Hr behaviour they are not helping emp they behave like they are owner of this company backed team also not working properly","['Work related travel:', '\xa0', 'This is a desk job.']"
55,review-54725216,2024-01-21,Anonymous,Deputy General Manager,Jio,Mumbai,3,,,3,3.0,2.0,2.0,3.0,3.0,4.0,2.0,Nothing to like as such ,"Poor Policies, No HR, No proper increment, No timing for getting variable pay and increment as well.","['Work related travel:', '\xa0', 'This is a desk job.']"
56,review-54663950,2024-01-19,Anonymous,Assistant Manager,Jio,Amravati,3,,,3,3.0,4.0,3.0,3.0,3.0,3.0,1.0,Jio gives a reall time updates of telecommunication of the daily world and has a wide range of field to work in. ,"There is work life balance in the industry, you would be working on a dozen KPIs in a single day and won't know where to put you concentration on which pki first. There is daily an ongoing drive going on for various kpis. The work pressure is tremendous.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
57,review-49753610,2024-01-18,Anonymous,Assistant Manager,Jio,Jamnagar,3,,,3,1.0,3.0,1.0,1.0,2.0,1.0,1.0,Training and business skill ,"Culture, appreciation, hike or increment,
Promotion, late night pressure, no week off","['Work related travel:', '\xa0', 'This is a desk job.']"
58,review-45469370,2024-01-18,Anonymous,Software Developer,Jio,Bangalore / Bengaluru,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,You can enhance your knowledge with the new technology ,"No Job security
Hostile environment
Bad work culture
Manager is order as dictator","['Work related travel:', '\xa0', 'This is a desk job.']"
59,review-54646148,2024-01-18,Anonymous,Assistant Manager,Jio,Mumbai,1,,,1,2.0,2.0,1.0,1.0,5.0,1.0,1.0,The only thing I like is the brand name which is been created under the Managing director and facilitiy. ,Worst management Senior management do not follow the hierarchy the manager seats in the office and enjoy their phone and social media only person who is in trouble is the frontier,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
60,review-54588002,2024-01-16,Anonymous,Deputy Manager HR,Jio,Mumbai,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,You'll get your Salary on time. Just this is a thing. ,"Worst company to work with.
Rubbish work culture. Please don't join by just by looking at Brand name(you'll regret) . Keep your doors open of your previous company.(you'll feel soon after joining) 
This company will not treat you like a employee. They are inhuman. No job security here in any department. Not even in HR. 
Hire/fire & P",[]
61,review-54535070,2024-01-13,Anonymous,Assistant Manager,Jio,Lucknow,1,,,1,1.0,4.0,3.0,2.0,1.0,3.0,2.0,High level profile employee are wehwer is very good and supporting but JC level employee was not good ,After 6 year no promotion no ancrement,"['Work related travel:', '\xa0', 'This is a desk job.']"
62,review-54528622,2024-01-12,Anonymous,Fiber Engineer,Jio,Chennai,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I'm working in jio fiber engineer in vadapalani (jc14) but I thought now why I join in this company such a worst office is this plz don't join this company it's my suggestion.... ,Everything I dislike in this company... JC14 vadapalani branch MS palraj he is unfit for that role I don't know who hired him for this job... Sach a worst person..🤞,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
63,review-54333376,2024-01-11,Anonymous,Manager,Jio,Chennai,4,,,4,3.0,5.0,5.0,4.0,3.0,4.0,4.0,"- Admired & Excited at Reliance as a leading Multinational Brand.
- Leadership inspiration.
- Opportunitys.
- Multitasking roles.
- Learning & Skill Development.
- Internal Culture. ",- Assessment Pattern.,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
64,review-54325394,2024-01-05,Anonymous,Customer Care Executive,Jio,Navi Mumbai,1,,,1,1.0,1.0,1.0,1.0,3.0,1.0,2.0,I did not like working in this company....everything is not for employees but only for senior employees ,Worst Experience Ever.....I had a very bad experience working in this company.,"['Work related travel:', '\xa0', 'This is a desk job.']"
65,review-54304214,2024-01-04,Anonymous,Assistant Manager,Jio,Bardhaman,1,,,1,2.0,1.0,1.0,1.0,4.0,1.0,1.0,"Nothing except time to time salary My higher authority boss was terrible due to our boss behavior all the managers and sales team left the company .
No job security ",Everything,"['Work related travel:', '\xa0', 'This is a desk job.']"
66,review-54019506,2024-01-04,Anonymous,General Manager,Jio,Navi Mumbai,5,,,5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,"Freedom to try and fail, build small business ideas into big products. Diversification of offerings across digital landscape ",Large conglomerate complexity,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
67,review-59126960,2024-07-27,Anonymous,Center Manager,Jio,Patna,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Best Place to work ,Nothing as such,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City,\xa0', 'Travel Within Country.']"
68,review-59117002,2024-07-27,Anonymous,Fiber Engineer,Jio,Guwahati,5,,,5,3.0,2.0,3.0,3.0,4.0,3.0,4.0,Good company can join easy ,Nothing is good here,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
69,review-59116416,2024-07-27,Anonymous,Senior Enterprise Sales Manager,Jio,Guwahati,5,,,5,3.0,3.0,4.0,4.0,4.0,4.0,3.0,"Product, Innovation, pricing and people matrix ",6 day working culture,[]
70,review-59099418,2024-07-26,Anonymous,Sales Executive,Jio,Hyderabad / Secunderabad,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,It's giving opportunity those people who aren't able to walkout. ,Pressure  of work day by day,[]
71,review-59099298,2024-07-26,Anonymous,Assistant Area Manager,Jio,Chennai,4,,,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Company Culture ,Nothing as of now,[]
